Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación;HR
01-01-2023;43,4;43;5,6;0,1;313;0;0,9;12,2;24;32,5;0;0;0;0
02-01-2023;31,3;23;3,8;0,1;321;0;1,2;38,4;29,9;59;0;0;0;0
03-01-2023;41,6;26;5,4;0,1;349;0;1,1;35,5;31,2;66,7;0;0;0;0
04-01-2023;34,2;24,2;6,3;0,1;354;0;1,3;40,4;32,2;72,6;0;0;0;0
05-01-2023;38,9;26;3,1;0,1;326;0;1,2;37,5;28,9;61,6;0;0;0;0
06-01-2023;50,5;41;4,2;1,4;340;0;1,5;71,4;35;91,2;0;0;0;0
07-01-2023;32,9;32;1,6;10,7;279;0;1,5;38,7;29,5;62,9;0;0;0;0
08-01-2023;18,9;11;2,2;0,7;258;0;0,6;12,3;14,3;26,5;0;0;0;0
09-01-2023;27,9;24;3,9;8,2;343;0;1;35,5;30,4;61,1;0;0;0;0
10-01-2023;36,1;25;1,4;9,2;351;0;1,8;70;37;104;0;0;0;0
11-01-2023;21,4;26;2,8;1,2;348;0;1,9;71,5;44,4;103,2;0;0;0;0
12-01-2023;21,4;20;2;1,4;300;0;1,5;51,6;19,7;70,3;0;0;0;0
13-01-2023;38,6;30;2,6;0;328;0;2;48,7;45,4;86,6;0;0;0;0
14-01-2023;42,9;32;2;4,9;351;0;1,4;65,8;34,9;87,8;0;0;0;0
15-01-2023;19,5;24;5;4,2;316;0;0,8;11,2;21,2;30,5;0;0;0;0
16-01-2023;42,4;26;3,6;1,2;325;0;1,8;36,9;40,3;66,2;0;0;0;0
17-01-2023;100,3;61;3,7;16,5;326;0;2,4;76,4;67,7;144,2;0;0;0;0
18-01-2023;34,3;34;5,1;13,9;250;0;2;73,1;37,4;110,6;0;0;0;0
19-01-2023;47,8;34;2,4;5,5;305;0;2;82,2;39,1;104,9;0;0;0;0
20-01-2023;20,2;18;4,8;0,1;243;0;2,8;35,3;20,4;55,4;0;0;0;0
21-01-2023;23,3;21;4,2;0,2;355;0;1,1;39,3;24,6;63,9;0;0;0;0
22-01-2023;20,6;14;3,6;0;304;0;0,9;29,4;24,6;54;0;0;0;0
23-01-2023;26;20;5,2;0;187;0;1,9;82,6;24,9;107,5;0;0;0;0
24-01-2023;20,4;22;3,9;0;306;0;2,2;89,7;25,7;113,7;0;0;0;0
25-01-2023;53,3;31;2;0;359;0;2,4;102,8;48,4;151,2;0;0;0;0
26-01-2023;35,5;26,8;3,8;0;303;0;1,3;50,1;41,3;86,4;0;0;0;0
27-01-2023;71,5;44;5,4;0;322;0;2;89,9;65,8;140,7;0;0;0;0
28-01-2023;61,4;42;4,4;0;333;0;1,2;41,1;46,7;72,9;0;0;0;0
29-01-2023;47,4;31;4,1;0;327;0;1,1;30,2;35,8;57,6;0;0;0;0
30-01-2023;66;41;4,3;13,1;313;0;2;82,5;62,2;108,4;0;0;0;0
31-01-2023;70,5;58;4,1;0,1;317;0;1,9;77,4;55,4;120,6;0;0;0;0
01-02-2023;96,7;63;5;0;329;0;2,2;91;78,5;133,3;0;0;0;0
02-02-2023;55,9;48;3,7;0;355;0;0,9;41,7;43,2;70,5;0;0;0;0
03-02-2023;68;38;3,8;0;353;0;2;68;63,7;122,6;0;0;0;0
04-02-2023;53,6;38;2,7;0;335;0;1,9;57,6;35,9;84,7;0;0;0;0
05-02-2023;27,3;22;5,5;0;151;0;1;27,7;27,9;55,6;0;0;0;0
06-02-2023;24,7;24;4;0;189;0;2,3;109,5;26,1;135,6;0;0;0;0
07-02-2023;48,8;35;4,9;0;336;0;2,1;77;56;118,1;0;0;0;0
08-02-2023;40,6;27;3,2;0;286;0;1,9;72,1;47;108,6;0;0;0;0
09-02-2023;26,3;26,3;4,5;0;266;0;1,9;58,2;43,2;101,3;0;0;0;0
10-02-2023;29;24;4,7;0;269;0;2,5;116,1;41,6;151,5;0;0;0;0
11-02-2023;31,7;21;3,7;0;342;0;1,4;57,8;29,9;85,5;0;0;0;0
12-02-2023;19,6;19;2,8;0;276;0;0,8;20,5;22,3;42,8;0;0;0;0
13-02-2023;44,7;31;5,3;0;259;0;2,3;132,6;54,8;168,4;0;0;0;0
14-02-2023;42;24;3;0;296;0;2,2;86,1;45,9;116,7;0;0;0;0
15-02-2023;38,2;37;4,4;0;294;0;2,7;167;47,2;208,3;0;0;0;0
16-02-2023;33,8;38;4,7;0,4;297;0;2,8;159,7;46,2;205,9;0;0;0;0
17-02-2023;39,6;30;5,5;6,6;332;0;2,4;142,3;46,5;170,3;0;0;0;0
18-02-2023;48,4;28;2,7;13,7;332;0;1,5;72,2;40,4;100,5;0;0;0;0
19-02-2023;38,4;26;5,4;0;323;0;0,8;38;30,7;66,9;0;0;0;0
20-02-2023;61,5;42;3,7;3;325;0;1,9;76,4;67;137,8;0;0;0;0
21-02-2023;55,1;54;2,6;5,1;341;0;2,3;110,2;63,4;159,6;0;0;0;0
22-02-2023;66,9;53;4,2;0;315;0;2,1;89,5;66,2;153,8;0;0;0;0
23-02-2023;52;52;7,3;0;296;0;2,2;107,5;57,5;137,2;0;0;0;0
24-02-2023;91,4;63;5;0;308;0;2,3;82,9;79,2;123,8;0;0;0;0
25-02-2023;52,9;35;4,4;0;355;0;1,4;33,6;37,8;69,2;0;0;0;0
26-02-2023;59,8;47;3,6;0;309;0;1,1;19;33,8;48,1;0;0;0;0
27-02-2023;54,7;49;3,4;2,1;327;0;1,9;59,6;48,3;97,6;0;0;0;0
28-02-2023;46,4;40;3,9;0;287;0;2,2;83,3;41,4;120,3;0;0;0;0
